__time,/riptide_1/imu_broadcaster/imu_status/angular_velocity/x,/riptide_1/imu_broadcaster/imu_status/angular_velocity/y,/riptide_1/imu_broadcaster/imu_status/angular_velocity/z,/riptide_1/imu_broadcaster/imu_status/header/stamp,/riptide_1/imu_broadcaster/imu_status/linear_acceleration/x,/riptide_1/imu_broadcaster/imu_status/linear_acceleration/y,/riptide_1/imu_broadcaster/imu_status/linear_acceleration/z,/riptide_1/pressure_broadcaster/pressure_status/altitude,/riptide_1/pressure_broadcaster/pressure_status/depth,/riptide_1/pressure_broadcaster/pressure_status/header/stamp,/riptide_1/pressure_broadcaster/pressure_status/pressure,/riptide_1/pressure_broadcaster/pressure_status/temperature,/riptide_1/tail_broadcaster/actuators_status/d_fin,/riptide_1/tail_broadcaster/actuators_status/header/stamp,/riptide_1/tail_broadcaster/actuators_status/p_fin,/riptide_1/tail_broadcaster/actuators_status/s_fin,/riptide_1/tail_broadcaster/actuators_status/thruster,/riptide_1/tail_broadcaster/multiplexer_status/automatic,/riptide_1/tail_broadcaster/multiplexer_status/header/stamp,/riptide_1/tail_broadcaster/multiplexer_status/remaining_time,/riptide_1/tail_broadcaster/rc_status/axes.0,/riptide_1/tail_broadcaster/rc_status/axes.1,/riptide_1/tail_broadcaster/rc_status/axes.2,/riptide_1/tail_broadcaster/rc_status/axes.3,/riptide_1/tail_broadcaster/rc_status/axes.4,/riptide_1/tail_broadcaster/rc_status/axes.5,/riptide_1/tail_broadcaster/rc_status/header/stamp,pitch_from_accel
1684869330.10222,,,,,,,,41.821990967,-0.04981029,1684869330.10222,100500,18.229999542,,,,,,,,,,,,,,,,
1684869330.10224,,,,,,,,,,,,,0,1684869330.10223,0,0,0,,,,,,,,,,,
1684869330.10225,,,,,,,,,,,,,,,,,,,,,-1,0.600000024,0,0.008,0.128000006,-0.143999994,1684869330.10225,
1684869330.10226,,,,,,,,,,,,,,,,,,0,1684869330.10225,0,,,,,,,,
1684869330.10226,0.00626724,-0.00044587,0.0005752,1684869330.10226,-0.484850764,-0.02768562,9.936513901,,,,,,,,,,,,,,,,,,,,,-0.049444279
1684869330.1419,,,,,,,,53.561992645,-0.063757166,1684869330.1419,100360,18.239999771,,,,,,,,,,,,,,,,
1684869330.14192,,,,,,,,,,,,,0,1684869330.14192,0,0,0,,,,,,,,,,,
1684869330.14193,,,,,,,,,,,,,,,,,,,,,-1,0.592000008,-0.008,0.008,0.128000006,-0.143999994,1684869330.14193,
1684869330.14194,,,,,,,,,,,,,,,,,,0,1684869330.14194,0,,,,,,,,
1684869330.14195,0.00622573,-0.00037975,0.00070018,1684869330.14195,-0.410404801,0.161543846,9.980619431,,,,,,,,,,,,,,,,,,,,,-0.041847565
1684869330.18163,,,,,,,,53.561992645,-0.063757166,1684869330.18163,100360,18.239999771,,,,,,,,,,,,,,,,
1684869330.18165,,,,,,,,,,,,,0,1684869330.18165,0,0,0,,,,,,,,,,,
1684869330.18166,,,,,,,,,,,,,,,,,,,,,-1,0.592000008,0,0.008,0.136000007,-0.143999994,1684869330.18166,
1684869330.18167,,,,,,,,,,,,,,,,,,0,1684869330.18167,0,,,,,,,,
1684869330.18168,0.00583219,-0.00025101,0.00076902,1684869330.18168,-0.38286075,0.30776602,10.025416374,,,,,,,,,,,,,,,,,,,,,-0.039037514
1684869330.22161,,,,,,,,41.821990967,-0.04981029,1684869330.22161,100500,18.239999771,,,,,,,,,,,,,,,,
1684869330.22163,,,,,,,,,,,,,0,1684869330.22163,0,0,0,,,,,,,,,,,
1684869330.22165,,,,,,,,,,,,,,,,,,,,,-1,0.592000008,0,0.008,0.136000007,-0.151999995,1684869330.22164,
1684869330.22165,,,,,,,,,,,,,,,,,,0,1684869330.22165,0,,,,,,,,
1684869330.22166,0.00510501,-0.00013905,0.00078248,1684869330.22166,-0.353747636,0.436834484,10.070288658,,,,,,,,,,,,,,,,,,,,,-0.036067721
1684869330.26114,,,,,,,,53.561992645,-0.063757166,1684869330.26114,100360,18.219999313,,,,,,,,,,,,,,,,
1684869330.26116,,,,,,,,,,,,,0,1684869330.26116,0,0,0,,,,,,,,,,,
1684869330.26117,,,,,,,,,,,,,,,,,,,,,-1,0.600000024,0,0,0.136000007,-0.143999994,1684869330.26117,
1684869330.26118,,,,,,,,,,,,,,,,,,0,1684869330.26118,0,,,,,,,,
1684869330.26119,0.00420606,-0.00003523,0.00075421,1684869330.26119,-0.33876887,0.548276722,10.070144653,,,,,,,,,,,,,,,,,,,,,-0.034539882
1684869330.30249,,,,,,,,41.821990967,-0.04981029,1684869330.30249,100500,18.229999542,,,,,,,,,,,,,,,,
1684869330.30251,,,,,,,,,,,,,0,1684869330.30251,0,0,0,,,,,,,,,,,
1684869330.30252,,,,,,,,,,,,,,,,,,,,,-1,0.592000008,0,0.008,0.136000007,-0.143999994,1684869330.30252,
1684869330.30253,,,,,,,,,,,,,,,,,,0,1684869330.30253,0,,,,,,,,
1684869330.30254,0.0032193,0.00006886,0.00069349,1684869330.30254,-0.34321028,0.551361024,10.051399231,,,,,,,,,,,,,,,,,,,,,-0.034992898
1684869330.34299,,,,,,,,41.821990967,-0.04981029,1684869330.34299,100500,18.229999542,,,,,,,,,,,,,,,,
1684869330.343,,,,,,,,,,,,,0,1684869330.343,0,0,0,,,,,,,,,,,
1684869330.34302,,,,,,,,,,,,,,,,,,,,,-1,0.592000008,0,0.008,0.136000007,-0.143999994,1684869330.34302,
1684869330.34302,,,,,,,,,,,,,,,,,,0,1684869330.34302,0,,,,,,,,
1684869330.34303,0.00228317,0.00013082,0.00062377,1684869330.34303,-0.344540089,0.573274612,10.000638008,,,,,,,,,,,,,,,,,,,,,-0.035128538
1684869330.38268,,,,,,,,41.821990967,-0.04981029,1684869330.38268,100500,18.229999542,,,,,,,,,,,,,,,,
1684869330.3827,,,,,,,,,,,,,0,1684869330.3827,0,0,0,,,,,,,,,,,
1684869330.38271,,,,,,,,,,,,,,,,,,,,,-1,0.600000024,0,0.008,0.136000007,-0.151999995,1684869330.38271,
1684869330.38272,,,,,,,,,,,,,,,,,,0,1684869330.38272,0,,,,,,,,
1684869330.38273,0.00141655,0.00016413,0.0005264,1684869330.38273,-0.360913157,0.558920741,9.9498806,,,,,,,,,,,,,,,,,,,,,-0.036798637
1684869330.42153,,,,,,,,41.821990967,-0.04981029,1684869330.42153,100500,18.239999771,,,,,,,,,,,,,,,,
1684869330.42155,,,,,,,,,,,,,0,1684869330.42155,0,0,0,,,,,,,,,,,
1684869330.42156,,,,,,,,,,,,,,,,,,,,,-1,0.600000024,0,0.008,0.128000006,-0.136000007,1684869330.42156,
1684869330.42157,,,,,,,,,,,,,,,,,,0,1684869330.42157,0,,,,,,,,
1684869330.42158,0.00060542,0.00017368,0.00039197,1684869330.42158,-0.384175926,0.565745115,9.892560959,,,,,,,,,,,,,,,,,,,,,-0.039171681
1684869330.46161,,,,,,,,41.821990967,-0.04981029,1684869330.46161,100500,18.229999542,,,,,,,,,,,,,,,,
1684869330.46163,,,,,,,,,,,,,0,1684869330.46163,0,0,0,,,,,,,,,,,
1684869330.46165,,,,,,,,,,,,,,,,,,,,,-1,0.592000008,0,0.008,0.136000007,-0.143999994,1684869330.46165,
1684869330.46166,,,,,,,,,,,,,,,,,,0,1684869330.46166,0,,,,,,,,
1684869330.46167,-0.00015945,0.00015956,0.00023913,1684869330.46167,-0.404958487,0.603913009,9.811215401,,,,,,,,,,,,,,,,,,,,,-0.041291905
1684869330.50208,,,,,,,,41.821990967,-0.04981029,1684869330.50208,100500,18.239999771,,,,,,,,,,,,,,,,
1684869330.5021,,,,,,,,,,,,,0,1684869330.5021,0,0,0,,,,,,,,,,,
1684869330.50211,,,,,,,,,,,,,,,,,,,,,-1,0.600000024,0,0.008,0.128000006,-0.143999994,1684869330.50211,
1684869330.50212,,,,,,,,,,,,,,,,,,0,1684869330.50211,0,,,,,,,,
1684869330.50213,-0.00081308,0.00012106,-0.00002022,1684869330.50212,-0.404203027,0.610426486,9.793855667,,,,,,,,,,,,,,,,,,,,,-0.04121483
1684869330.54274,,,,,,,,53.561992645,-0.063757166,1684869330.54274,100360,18.239999771,,,,,,,,,,,,,,,,
1684869330.54276,,,,,,,,,,,,,0,1684869330.54276,0,0,0,,,,,,,,,,,
1684869330.54277,,,,,,,,,,,,,,,,,,,,,-1,0.592000008,0,0.008,0.136000007,-0.143999994,1684869330.54277,
1684869330.54278,,,,,,,,,,,,,,,,,,0,1684869330.54278,0,,,,,,,,
1684869330.54279,-0.00192652,-0.00042316,-0.00029789,1684869330.54279,-0.51249218,0.402818054,9.189178467,,,,,,,,,,,,,,,,,,,,,-0.052265605
1684869330.58202,,,,,,,,41.821990967,-0.04981029,1684869330.58202,100500,18.229999542,,,,,,,,,,,,,,,,
