stamp,depth,pressure
1686731154.02079,2,120920
1686731154.06153,2,120920
1686731154.1001,2,120920
1686731154.14018,2,120920
1686731154.18119,2,120920
1686731154.2207,2,120920
1686731154.26126,2,120920
1686731154.30077,2,120920
1686731154.34091,1.999753475,120917.578125
1686731154.38103,1.99727118,120893.2265625
1686731154.42086,1.990422368,120826.046875
1686731154.46081,1.978189588,120706.0390625
1686731154.50031,1.960167646,120529.2421875
1686731154.54098,1.936378121,120295.8671875
1686731154.5801,1.907726169,120014.796875
1686731154.62086,1.87499249,119693.6796875
1686731154.66013,1.838945031,119340.046875
1686731154.70075,1.800072074,118958.703125
1686731154.74079,1.758732796,118553.171875
1686731154.78012,1.71569705,118130.984375
1686731154.82091,1.67157042,117698.109375
1686731154.86074,1.626954794,117260.4296875
1686731154.90013,1.582230568,116821.6796875
1686731154.94102,1.537636876,116384.21875
1686731154.98006,1.493571639,115951.9375
1686731155.01812,1.450336814,115527.8046875
1686731155.059,1.408206582,115114.5078125
1686731155.09934,1.367354035,114713.7421875
1686731155.1397,1.327889204,114326.59375
1686731155.17982,1.289988518,113954.7890625
1686731155.22097,1.253789425,113599.671875
1686731155.26092,1.219426513,113262.578125
1686731155.30018,1.186988473,112944.359375
1686731155.3408,1.156535625,112645.6171875
1686731155.38106,1.128167748,112367.328125
1686731155.4202,1.101961851,112110.2421875
1686731155.46094,1.077982068,111875.0078125
1686731155.50002,1.056270123,111662.0078125
1686731155.54086,1.03684473,111471.4453125
1686731155.58079,1.019694328,111303.203125
1686731155.62033,1.00479722,111157.0625
1686731155.66024,0.992086768,111032.375
1686731155.70091,0.98151511,110928.6640625
1686731155.74001,0.973032594,110845.453125
1686731155.78052,0.966475368,110781.125
1686731155.82101,0.961699009,110734.265625
1686731155.86013,0.95851177,110703
1686731155.90101,0.956785202,110686.0625
1686731155.94022,0.956421018,110682.4921875
1686731155.98085,0.957187772,110690.015625
1686731156.021,0.958895862,110706.765625
1686731156.05992,0.961333632,110730.6796875
1686731156.10092,0.964363575,110760.40625
1686731156.14087,0.967891872,110795.015625
1686731156.18094,0.97173363,110832.703125
1686731156.21997,0.975744307,110872.0546875
1686731156.26075,0.979781985,110911.6640625
1686731156.29994,0.9837569,110950.65625
1686731156.34097,0.987613618,110988.4921875
1686731156.37995,0.991263866,111024.296875
1686731156.42037,0.994643271,111057.453125
1686731156.46103,0.997701526,111087.453125
1686731156.49947,1.000408649,111114.0078125
1686731156.53825,1.002750754,111136.984375
1686731156.57836,1.004723191,111156.3359375
1686731156.61904,1.00632894,111172.0859375
1686731156.66089,1.007583857,111184.3984375
1686731156.70031,1.008499026,111193.375
1686731156.74105,1.009086013,111199.1328125
1686731156.78111,1.009382486,111202.0390625
1686731156.82088,1.009421349,111202.421875
1686731156.86018,1.009243488,111200.6796875
1686731156.89996,1.008876085,111197.0703125
1686731156.94074,1.008338809,111191.8046875
1686731156.98011,1.007674575,111185.2890625
1686731157.02014,1.006917953,111177.8671875
1686731157.10093,1.005259037,111161.59375
1686731157.14102,1.004395008,111153.1171875
1686731157.18215,1.003539801,111144.7265625
1686731157.22108,1.002713799,111136.625
1686731157.2609,1.001935244,111128.984375
1686731157.30081,1.001215339,111121.921875
1686731157.34029,1.000560284,111115.5
1686731157.38103,0.999977469,111109.78125
1686731157.42073,0.999471605,111104.8125
1686731157.46025,0.99904412,111100.625
1686731157.50029,0.998695493,111097.203125
1686731157.54096,0.998424947,111094.546875
1686731157.57999,0.998227,111092.609375
1686731157.61998,0.998096526,111091.328125
1686731157.65997,0.998026133,111090.6328125
1686731157.70102,0.998010695,111090.484375
1686731157.74026,0.998046339,111090.8359375
1686731157.78081,0.998123586,111091.59375
1686731157.82107,0.998234689,111092.6796875
1686731157.86135,0.998371005,111094.015625
1686731157.90099,0.998526871,111095.546875
1686731157.93998,0.998698533,111097.234375
1686731157.98099,0.998878598,111099
1686731158.02011,0.999061346,111100.7890625
1686731158.06087,0.999241292,111102.5546875
1686731158.10118,0.999414861,111104.2578125
1686731158.14088,0.999579966,111105.8828125
1686731158.17853,0.999733508,111107.3828125
1686731158.21791,0.999873161,111108.7578125
1686731158.2578,0.999997199,111109.96875
1686731158.29771,1.000104785,111111.03125
1686731158.33782,1.000195622,111111.921875
1686731158.37818,1.000270009,111112.6484375
1686731158.41986,1.000328422,111113.21875
1686731158.46024,1.000371933,111113.6484375
1686731158.50098,1.000401139,111113.9375
1686731158.54101,1.000416756,111114.0859375
1686731158.5801,1.000420451,111114.125
1686731158.62019,1.000413895,111114.0625
1686731158.66089,1.000398874,111113.9140625
1686731158.7003,1.000376582,111113.6953125
1686731158.74097,1.000348091,111113.4140625
1686731158.78018,1.00031507,111113.09375
1686731158.82086,1.00027895,111112.734375
1686731158.86007,1.00024128,111112.3671875
1686731158.90091,1.000203133,111111.9921875
1686731158.94039,1.000164986,111111.6171875
1686731158.98018,1.000127912,111111.2578125
1686731159.01971,1.000092626,111110.90625
1686731159.0601,1.000059962,111110.5859375
1686731159.10103,1.000030279,111110.296875
1686731159.14111,1.000003695,111110.0390625
1686731159.18117,0.999980509,111109.8125
1686731159.21941,0.99996084,111109.6171875
1686731159.25922,0.999944627,111109.453125
1686731159.29977,0.999931812,111109.328125
1686731159.3392,0.999922395,111109.2421875
1686731159.3788,0.999916077,111109.1796875
1686731159.41888,0.9999125,111109.140625
1686731159.45936,0.999911308,111109.1328125
1686731159.49945,0.999912322,111109.140625
1686731159.53941,0.999915361,111109.171875
1686731159.57915,0.999920011,111109.21875
1686731159.6187,0.999925852,111109.2734375
1686731159.65928,0.999932587,111109.3359375
1686731159.6994,0.999939919,111109.4140625
1686731159.73887,0.999947727,111109.484375
1686731159.7794,0.999955714,111109.5625
1686731159.82091,0.999963701,111109.640625
1686731159.86007,0.99997133,111109.71875
1686731159.90023,0.999978662,111109.7890625
1686731159.93995,0.999985456,111109.859375
1686731159.98012,0.999991715,111109.921875
1686731160.02017,0.999997318,111109.9765625
1686731160.06097,1.000002265,111110.0234375
1686731160.10216,1.000006437,111110.0625
1686731160.14,1.000010014,111110.1015625
1686731160.18099,1.000012755,111110.125
1686731160.22043,1.000014901,111110.1484375
1686731160.26021,1.000016332,111110.1640625
1686731160.30061,1.000017285,111110.171875
1686731160.34022,1.000017643,111110.171875
1686731160.38027,1.000017524,111110.171875
1686731160.41848,1.000017047,111110.1640625
1686731160.4593,1.000016212,111110.15625
1686731160.50093,1.00001514,111110.1484375
1686731160.54008,1.000013828,111110.1328125
1686731160.58018,1.000012398,111110.125
1686731160.6213,1.000010848,111110.109375
1686731160.66088,1.000009179,111110.09375
1686731160.70097,1.000007629,111110.078125
1686731160.74097,1.00000596,111110.0625
1686731160.7813,1.00000453,111110.046875
1686731160.82023,1.000003099,111110.03125
1686731160.86107,1.000001788,111110.015625
1686731160.90198,1.000000596,111110.0078125
1686731160.94036,0.999999523,111109.9921875
1686731160.98013,0.999998629,111109.984375
1686731161.02022,0.999997914,111109.9765625
1686731161.06046,0.999997318,111109.9765625
1686731161.101,0.999996841,111109.96875
1686731161.14023,0.999996543,111109.96875
1686731161.18108,0.999996364,111109.9609375
1686731161.2202,0.999996245,111109.9609375
1686731161.2611,0.999996305,111109.9609375
1686731161.30102,0.999996364,111109.9609375
1686731161.34008,0.999996543,111109.96875
1686731161.38014,0.999996781,111109.96875
1686731161.42104,0.999997079,111109.96875
1686731161.46006,0.999997377,111109.9765625
1686731161.50053,0.999997675,111109.9765625
1686731161.54031,0.999998033,111109.984375
1686731161.58024,0.999998391,111109.984375
1686731161.62038,0.999998689,111109.984375
1686731161.66012,0.999999046,111109.9921875
1686731161.69989,0.999999344,111109.9921875
1686731161.74135,0.999999583,111110
1686731161.77773,0.999999881,111110
1686731161.81783,1.000000119,111110
1686731161.85892,1.000000238,111110
1686731161.90109,1.000000477,111110.0078125
1686731161.94108,1.000000596,111110.0078125
1686731161.98016,1.000000715,111110.0078125
1686731162.02111,1.000000715,111110.0078125
1686731162.06103,1.000000715,111110.0078125
1686731162.10105,1.000000834,111110.0078125
1686731162.14031,1.000000834,111110.0078125
1686731162.18214,1.000000715,111110.0078125
1686731162.21842,1.000000715,111110.0078125
1686731162.25823,1.000000715,111110.0078125
1686731162.30039,1.000000596,111110.0078125
1686731162.3402,1.000000596,111110.0078125
1686731162.38035,1.000000477,111110.0078125
1686731162.42044,1.000000477,111110.0078125
1686731162.46037,1.000000358,111110
1686731162.5012,1.000000238,111110
1686731162.54095,1.000000238,111110
1686731162.57986,1.000000119,111110
1686731162.62036,1.000000119,111110
1686731162.66122,1,111110
1686731162.7015,1,111110
1686731162.7412,0.99999994,111110
1686731162.78128,0.99999994,111110
1686731162.82011,0.999999881,111110
1686731162.86107,0.999999881,111110
1686731162.90101,0.999999821,111110
1686731162.94022,0.999999821,111110
1686731162.98026,0.999999821,111110
1686731163.02103,0.999999821,111110
1686731163.06051,0.999999821,111110
1686731163.10135,0.999999821,111110
1686731163.14095,0.999999881,111110
1686731163.18046,0.999999881,111110
1686731163.22119,0.999999881,111110
1686731163.26108,0.999999881,111110
1686731163.30109,0.999999881,111110
1686731163.34112,0.99999994,111110
1686731163.3811,0.99999994,111110
1686731163.42031,0.99999994,111110
1686731163.46095,0.99999994,111110
1686731163.49877,1,111110
1686731163.53776,1,111110
1686731163.57754,1,111110
1686731163.61906,1,111110
1686731163.66038,1,111110
1686731163.69986,1,111110
1686731163.74036,1,111110
1686731163.78018,1,111110
1686731163.82016,1,111110
1686731163.86021,1,111110
1686731163.90013,1,111110
1686731163.94097,1,111110
1686731163.98032,1,111110
1686731164.02017,1,111110
1686731164.06098,1,111110
1686731164.10027,1,111110
1686731164.1383,1,111110
1686731164.17757,1,111110
1686731164.21798,1,111110
1686731164.25915,1,111110
1686731164.3011,1,111110
1686731164.34038,1.0004251,111114.171875
1686731164.38115,1.003630877,111145.6171875
1686731164.42119,1.01138401,111221.6796875
1686731164.46023,1.024474978,111350.1015625
1686731164.50027,1.043022633,111532.0546875
1686731164.54107,1.06689322,111766.2265625
1686731164.57786,1.095516086,112047.015625
1686731164.61734,1.128455877,112370.15625
1686731164.65987,1.165269494,112731.296875
1686731164.70023,1.204989433,113120.9453125
1686731164.73978,1.246917009,113532.2578125
1686731164.78043,1.290296078,113957.8046875
1686731164.82027,1.334640503,114392.8203125
1686731164.85987,1.379638195,114834.25
1686731164.90047,1.424741387,115276.7109375
1686731164.93992,1.469533324,115716.125
1686731164.981,1.513633847,116148.75
1686731165.02138,1.556805134,116572.2578125
1686731165.06037,1.598899245,116985.203125
1686731165.10002,1.639687538,117385.3359375
1686731165.13993,1.678994775,117770.9375
1686731165.18006,1.716657043,118140.40625
1686731165.22168,1.752568722,118492.6953125
1686731165.26028,1.786658049,118827.1171875
1686731165.30035,1.818804741,119142.4765625
1686731165.34003,1.848913431,119437.84375
1686731165.38108,1.876893163,119712.3203125
1686731165.42101,1.902683139,119965.3203125
1686731165.46105,1.92624712,120196.484375
1686731165.50134,1.947548151,120405.4453125
1686731165.54089,1.966565371,120592.0078125
1686731165.57868,1.983312845,120756.296875
1686731165.61765,1.997802854,120898.4453125
1686731165.65759,2.010068893,121018.7734375
1686731165.70039,2.020229101,121118.4453125
1686731165.74107,2.028380156,121198.40625
1686731165.78116,2.034673929,121260.1484375
1686731165.82041,2.039213657,121304.6875
1686731165.86026,2.042084455,121332.8515625
1686731165.89962,2.043506861,121346.8046875
1686731165.94111,2.043664932,121348.3515625
1686731165.98027,2.042776108,121339.6328125
1686731166.02102,2.040982962,121322.0390625
1686731166.0603,2.038386583,121296.5703125
1686731166.10019,2.035198689,121265.296875
1686731166.14105,2.031588554,121229.8828125
1686731166.18122,2.027729511,121192.0234375
1686731166.22016,2.023732901,121152.8203125
1686731166.2604,2.019670486,121112.96875
1686731166.29832,2.015666723,121073.6953125
1686731166.3373,2.011820316,121035.9609375
1686731166.3774,2.008215427,121000.59375
1686731166.4179,2.004900694,120968.078125
1686731166.4592,2.001904249,120938.6796875
1686731166.50041,1.999257207,120912.7109375
1686731166.54044,1.996976614,120890.34375
1686731166.58047,1.995065451,120871.59375
1686731166.62012,1.993523359,120856.4609375
1686731166.66133,1.992345095,120844.90625
1686731166.70024,1.991502762,120836.640625
1686731166.74036,1.990970492,120831.421875
1686731166.77996,1.990712166,120828.8828125
1686731166.81994,1.990703225,120828.796875
1686731166.86046,1.990924954,120830.9765625
1686731166.90045,1.991332889,120834.9765625
1686731166.94006,1.99189055,120840.4453125
1686731166.98114,1.992558002,120846.9921875
1686731167.02109,1.993308902,120854.359375
1686731167.06022,1.994125962,120862.375
1686731167.10138,1.994975686,120870.7109375
1686731167.13972,1.995831609,120879.109375
1686731167.18123,1.996669173,120887.328125
1686731167.22,1.997472644,120895.2109375
1686731167.26006,1.998232722,120902.6640625
1686731167.30087,1.998935342,120909.5546875
1686731167.34041,1.999570847,120915.7890625
1686731167.38014,2.000132561,120921.3046875
1686731167.42137,2.000616789,120926.046875
1686731167.45968,2.001021862,120930.0234375
1686731167.5003,2.001350164,120933.2421875
1686731167.54018,2.001603603,120935.734375
1686731167.58151,2.001787663,120937.5390625
1686731167.62031,2.001906872,120938.703125
1686731167.66027,2.001968384,120939.3125
1686731167.70033,2.001976967,120939.390625
1686731167.74013,2.001936197,120938.9921875
1686731167.78101,2.001855373,120938.203125
1686731167.82036,2.001740932,120937.078125
1686731167.86094,2.001597881,120935.671875
1686731167.90028,2.001434565,120934.0703125
1686731167.9414,2.001258612,120932.34375
1686731167.98024,2.001076937,120930.5625
1686731168.02041,2.00089407,120928.7734375
1686731168.06102,2.00071311,120926.9921875
1686731168.10032,2.000538349,120925.28125
1686731168.14013,2.00037384,120923.6640625
1686731168.18052,2.000222445,120922.1796875
1686731168.22128,2.000085831,120920.84375
1686731168.26043,1.999964952,120919.65625
1686731168.3011,1.999860644,120918.6328125
1686731168.34051,1.999773145,120917.7734375
1686731168.38125,1.999702215,120917.078125
1686731168.42039,1.999647617,120916.546875
1686731168.46021,1.999608874,120916.1640625
1686731168.50016,1.999584317,120915.921875
1686731168.54029,1.999572873,120915.8125
1686731168.57975,1.999572396,120915.8046875
1686731168.61779,1.999581933,120915.8984375
1686731168.65782,1.999600291,120916.078125
1686731168.6979,1.999625564,120916.328125
1686731168.73841,1.999655962,120916.625
1686731168.78049,1.999689937,120916.9609375
1686731168.82059,1.999726295,120917.3125
1686731168.86046,1.999764442,120917.6875
1686731168.90037,1.999803185,120918.0703125
1686731168.94115,1.999841213,120918.4453125
1686731168.98155,1.99987781,120918.8046875
1686731169.02013,1.999912381,120919.140625
1686731169.06037,1.999944091,120919.453125
1686731169.10048,1.99997282,120919.734375
1686731169.14159,1.999998331,120919.984375
1686731169.18024,2.000020504,120920.203125
1686731169.22035,2.000039101,120920.3828125
1686731169.26074,2.000054359,120920.53125
1686731169.30117,2.00006628,120920.6484375
1686731169.3399,2.000075102,120920.734375
1686731169.38016,2.000080824,120920.796875
1686731169.42108,2.000084162,120920.828125
1686731169.46033,2.000084877,120920.8359375
1686731169.50016,2.000083447,120920.8203125
1686731169.54026,2.000080347,120920.7890625
1686731169.58037,2.000075817,120920.7421875
1686731169.62111,2.000070095,120920.6875
1686731169.6603,2.000063181,120920.6171875
1686731169.70158,2.000056028,120920.546875
1686731169.74001,2.000048399,120920.4765625
1686731169.78054,2.000040531,120920.3984375
1686731169.81996,2.000032902,120920.3203125
1686731169.86061,2.000025272,120920.25
1686731169.90084,2.000018358,120920.1796875
1686731169.94009,2.000011683,120920.1171875
1686731169.98024,2.000005722,120920.0546875
1686731170.02144,2.000000477,120920
1686731170.06107,1.999995708,120919.9609375
1686731170.10044,1.999991775,120919.921875
1686731170.14036,1.999988556,120919.890625
1686731170.18147,1.999986053,120919.859375
1686731170.22032,1.999984145,120919.84375
1686731170.26114,1.999982834,120919.828125
1686731170.30048,1.999982119,120919.828125
1686731170.34066,1.99998188,120919.8203125
1686731170.38019,1.999982119,120919.828125
1686731170.42116,1.999982834,120919.828125
1686731170.4602,1.999983788,120919.84375
1686731170.50036,1.999985099,120919.8515625
1686731170.54059,1.999986529,120919.8671875
1686731170.58025,1.999988079,120919.8828125
1686731170.62104,1.999989748,120919.8984375
1686731170.6602,1.999991417,120919.9140625
1686731170.70071,1.999993086,120919.9296875
1686731170.74043,1.999994636,120919.9453125
1686731170.78011,1.999996185,120919.9609375
1686731170.8192,1.999997616,120919.9765625
1686731170.85906,1.999998927,120919.9921875
1686731170.89799,2,120920
1686731170.9382,2.000000954,120920.0078125
1686731170.97948,2.000001907,120920.015625
1686731171.0202,2.000002623,120920.0234375
1686731171.06111,2.000003099,120920.03125
1686731171.10076,2.000003576,120920.03125
1686731171.14059,2.000003815,120920.0390625
1686731171.18024,2.000003815,120920.0390625
1686731171.22033,2.000003815,120920.0390625
1686731171.26039,2.000003815,120920.0390625
1686731171.30028,2.000003576,120920.0390625
1686731171.34054,2.000003338,120920.03125
1686731171.38007,2.000003099,120920.03125
1686731171.42012,2.000002861,120920.03125
1686731171.46019,2.000002623,120920.0234375
1686731171.50059,2.000002146,120920.0234375
1686731171.53989,2.000001907,120920.015625
1686731171.5804,2.000001431,120920.015625
1686731171.62025,2.000001192,120920.0078125
1686731171.66052,2.000000715,120920.0078125
1686731171.70039,2.000000477,120920.0078125
1686731171.74057,2.000000238,120920
1686731171.7805,2,120920
1686731171.82158,1.999999762,120920
1686731171.8604,1.999999642,120920
1686731171.90008,1.999999523,120919.9921875
1686731171.9406,1.999999404,120919.9921875
1686731171.98104,1.999999285,120919.9921875
1686731172.01901,1.999999166,120919.9921875
1686731172.05813,1.999999166,120919.9921875
1686731172.09872,1.999999166,120919.9921875
1686731172.14126,1.999999166,120919.9921875
1686731172.18132,1.999999166,120919.9921875
1686731172.2216,1.999999285,120919.9921875
1686731172.26031,1.999999285,120919.9921875
1686731172.30032,1.999999404,120919.9921875
