stamp,angular_velocity/x,angular_velocity/y,angular_velocity/z,linear_acceleration/x,linear_acceleration/y,linear_acceleration/z,pitch_deg,roll_deg,orientation/w,orientation/x,orientation/y,yaw_deg,orientation/z
1686731145.86164,0,-0.287433909,0,-2.811074425,0,10.297122468,16.669124587,0,0.98943853,0,0.144953082,0,0
1686731145.90116,0,-0.31554301,0,-2.696940239,0,10.419432849,15.973813036,0,0.990299847,0,0.138946797,0,0
1686731145.93835,0,-0.331028567,0,-2.574169478,0,10.502683444,15.228570743,0,0.991182534,0,0.132503523,0,0
1686731145.9776,0,-0.338487538,0,-2.446980123,0,10.559979994,14.459278169,0,0.992049734,0,0.125846437,0,0
1686731146.0173,0,-0.370341905,0,-2.310729682,0,10.69480643,13.638121028,0,0.992926064,0,0.11873429,0,0
1686731146.05776,0,-0.38568529,0,-2.165752787,0,10.77733799,12.767491555,0,0.993799502,0,0.111187006,0,0
1686731146.09875,0,-0.393075781,0,-2.016287357,0,10.833352882,11.873032604,0,0.994637102,0,0.10342647,0,0
1686731146.14133,0,-0.414122955,0,-1.860217818,0,10.931400579,10.942171525,0,0.99544444,0,0.095343415,0,0
1686731146.18016,0,-0.424260806,0,-1.698151123,0,10.993380712,9.978622536,0,0.99621094,0,0.086969898,0,0
1686731146.22081,0,-0.43020897,0,-1.532719471,0,11.039839525,8.997997555,0,0.996918705,0,0.078441675,0,0
1686731146.26077,0,-0.433177893,0,-1.36521748,0,11.074270088,8.007799748,0,0.9975593,0,0.069824373,0,0
1686731146.30062,0,-0.425765293,0,-1.19840114,0,11.072838338,7.024042785,0,0.998121968,0,0.06125796,0,0
1686731146.34086,0,-0.421332576,0,-1.033662552,0,11.077704949,6.054578423,0,0.998604495,0,0.052811584,0,0
1686731146.38079,0,-0.419197457,0,-0.86980091,0,11.08694276,5.091998417,0,0.99901288,0,0.044421447,0,0
1686731146.4206,0,-0.388260041,0,-0.712636463,0,11.001840958,4.170115582,0,0.999337916,0,0.036383092,0,0
1686731146.46164,0,-0.37044182,0,-0.565098189,0,10.955133675,3.305684794,0,0.999583939,0,0.028843541,0,0
1686731146.50103,0,-0.332735949,0,-0.428380151,0,10.842836248,2.505326308,0,0.999761012,0,0.021861355,0,0
1686731146.54008,0,-0.311734156,0,-0.303155655,0,10.781099888,1.772684792,0,0.999880348,0,0.015468976,0,0
1686731146.58006,0,-0.301618163,0,-0.183459601,0,10.752083013,1.072660706,0,0.999956189,0,0.009360594,0,0
1686731146.62083,0,-0.249461194,0,-0.076531227,0,10.588566729,0.447444986,0,0.999992377,0,0.003904684,0,0
1686731146.66248,0,-0.21972775,0,0.014008349,0,10.494830144,-0.081899953,0,0.999999745,0,-0.000714712,0,0
1686731146.70091,0,-0.172773143,0,0.089672966,0,10.345946375,-0.524281041,0,0.999989534,0,-0.004575199,0,0
1686731146.74053,0,-0.146974257,0,0.15110604,0,10.263608391,-0.883477698,0,0.99997028,0,-0.007709721,0,0
1686731146.77975,0,-0.134547635,0,0.205681467,0,10.22331833,-1.202606664,0,0.999944931,0,-0.01049453,0,0
1686731146.82056,0,-0.088514216,0,0.248392292,0,10.076758126,-1.452383089,0,0.99991968,0,-0.012674094,0,0
1686731146.86101,0,-0.06243598,0,0.276722321,0,9.993532226,-1.618074367,0,0.999900309,0,-0.014119893,0,0
1686731146.90087,0,-0.027907067,0,0.293431854,0,9.883855936,-1.715808156,0,0.999887903,0,-0.014972691,0,0
1686731146.94033,0,-0.00913329,0,0.299791831,0,9.82429546,-1.753008861,0,0.99988299,0,-0.015297292,0,0
1686731146.98129,0,-0.000090473,0,0.301166974,0,9.795657378,-1.761052423,0,0.999881913,0,-0.015367477,0,0
1686731147.02074,0,0.024734498,0,0.295767317,0,9.717318454,-1.729468635,0,0.999886111,0,-0.015091888,0,0
1686731147.06082,0,0.038688028,0,0.282675504,0,9.673580057,-1.652893885,0,0.999895973,0,-0.01442372,0,0
1686731147.09992,0,0.05316525,0,0.264220463,0,9.62831421,-1.544954292,0,0.999909116,0,-0.013481861,0,0
1686731147.13822,0,0.06089486,0,0.24150293,0,9.604457394,-1.412091785,0,0.999924075,0,-0.012322514,0,0
1686731147.17899,0,0.064618003,0,0.216731295,0,9.593263085,-1.267224589,0,0.999938854,0,-0.011058395,0,0
1686731147.21998,0,0.069058519,0,0.190324233,0,9.579769487,-1.112802133,0,0.999952848,0,-0.009710878,0,0
1686731147.26092,0,0.071197394,0,0.162736365,0,9.573502798,-0.951483209,0,0.999965528,0,-0.008303162,0,0
1686731147.30094,0,0.069763369,0,0.13510583,0,9.578457507,-0.789922355,0,0.999976241,0,-0.006893318,0,0
1686731147.34086,0,0.068832342,0,0.107987651,0,9.58173804,-0.631363454,0,0.999984822,0,-0.005509658,0,0
1686731147.38213,0,0.068383891,0,0.081115956,0,9.583415439,-0.474250511,0,0.999991436,0,-0.004138605,0,0
1686731147.42074,0,0.060695097,0,0.055960238,0,9.607905478,-0.327173765,0,0.999995924,0,-0.002855126,0,0
1686731147.45953,0,0.056262922,0,0.033248478,0,9.622024616,-0.19438787,0,0.999998561,0,-0.001696353,0,0
1686731147.49809,0,0.047722533,0,0.013083244,0,9.649079367,-0.076491318,0,0.999999777,0,-0.000667513,0,0
1686731147.53793,0,0.04298424,0,-0.004468881,0,9.664070881,0.026127352,0,0.999999974,0,0.000228004,0,0
1686731147.57825,0,0.040701933,0,-0.020762306,0,9.671267194,0.121387081,0,0.999999439,0,0.001059302,0,0
1686731147.61851,0,0.029620955,0,-0.034016086,0,9.706271279,0.198875725,0,0.999998494,0,0.001735517,0,0
1686731147.66044,0,0.02428355,0,-0.044326264,0,9.723108425,0.259154744,0,0.999997443,0,0.00226155,0,0
